"terms","count","probability"
"either way",73,0.000561828019055975
"gay marriage",73,0.000561828019055975
"good times",73,0.000561828019055975
"hope will",73,0.000561828019055975
"just watched",73,0.000561828019055975
"last summer",73,0.000561828019055975
"long enough",73,0.000561828019055975
"new album",73,0.000561828019055975
"pm pm",73,0.000561828019055975
"take look",73,0.000561828019055975
"try get",73,0.000561828019055975
"trying figure",73,0.000561828019055975
"will know",73,0.000561828019055975
"april th",72,0.000554131744822332
"can give",72,0.000554131744822332
"can play",72,0.000554131744822332
"dining room",72,0.000554131744822332
"happy easter",72,0.000554131744822332
"hes going",72,0.000554131744822332
"last weeks",72,0.000554131744822332
"lot fun",72,0.000554131744822332
"next two",72,0.000554131744822332
"people get",72,0.000554131744822332
"prime minister",72,0.000554131744822332
"really love",72,0.000554131744822332
"right back",72,0.000554131744822332
"running back",72,0.000554131744822332
"st charles",72,0.000554131744822332
"thought id",72,0.000554131744822332
"whats good",72,0.000554131744822332
"yes yes",72,0.000554131744822332
"back forth",71,0.000546435470588688
"cant go",71,0.000546435470588688
"chance win",71,0.000546435470588688
"cinco de",71,0.000546435470588688
"feeling like",71,0.000546435470588688
"ill take",71,0.000546435470588688
"just think",71,0.000546435470588688
"million million",71,0.000546435470588688
"much easier",71,0.000546435470588688
"now will",71,0.000546435470588688
"one night",71,0.000546435470588688
"please dont",71,0.000546435470588688
"rt just",71,0.000546435470588688
"school year",71,0.000546435470588688
"since last",71,0.000546435470588688
"think youre",71,0.000546435470588688
"tonight pm",71,0.000546435470588688
"u get",71,0.000546435470588688
"will say",71,0.000546435470588688
"work hard",71,0.000546435470588688
"youd like",71,0.000546435470588688
"another one",70,0.000538739196355045
"day will",70,0.000538739196355045
"dont remember",70,0.000538739196355045
"fall asleep",70,0.000538739196355045
"first one",70,0.000538739196355045
"five minutes",70,0.000538739196355045
"good work",70,0.000538739196355045
"great see",70,0.000538739196355045
"hard time",70,0.000538739196355045
"id rather",70,0.000538739196355045
"im done",70,0.000538739196355045
"just trying",70,0.000538739196355045
"know love",70,0.000538739196355045
"like just",70,0.000538739196355045
"might well",70,0.000538739196355045
"percent percent",70,0.000538739196355045
"phone call",70,0.000538739196355045
"press release",70,0.000538739196355045
"task force",70,0.000538739196355045
"tea party",70,0.000538739196355045
"three weeks",70,0.000538739196355045
"york times",70,0.000538739196355045
"couldnt get",69,0.000531042922121401
"cuyahoga county",69,0.000531042922121401
"day day",69,0.000531042922121401
"de mayo",69,0.000531042922121401
"hope well",69,0.000531042922121401
"ive heard",69,0.000531042922121401
"like us",69,0.000531042922121401
"never thought",69,0.000531042922121401
"new england",69,0.000531042922121401
"people want",69,0.000531042922121401
"spending time",69,0.000531042922121401
"think ill",69,0.000531042922121401
"will open",69,0.000531042922121401
"can change",68,0.000523346647887757
"cant make",68,0.000523346647887757
"doesnt know",68,0.000523346647887757
"early morning",68,0.000523346647887757
"get home",68,0.000523346647887757
"good stuff",68,0.000523346647887757
"hes got",68,0.000523346647887757
"home run",68,0.000523346647887757
"just now",68,0.000523346647887757
"know dont",68,0.000523346647887757
"need know",68,0.000523346647887757
"oh wait",68,0.000523346647887757
"one last",68,0.000523346647887757
"see u",68,0.000523346647887757
"social security",68,0.000523346647887757
"spread word",68,0.000523346647887757
"whole thing",68,0.000523346647887757
"work done",68,0.000523346647887757
"customer service",67,0.000515650373654114
"doesnt make",67,0.000515650373654114
"first year",67,0.000515650373654114
"hope great",67,0.000515650373654114
"just little",67,0.000515650373654114
"little girl",67,0.000515650373654114
"look back",67,0.000515650373654114
"maybe just",67,0.000515650373654114
"never got",67,0.000515650373654114
"one many",67,0.000515650373654114
"people say",67,0.000515650373654114
"salt pepper",67,0.000515650373654114
"seven years",67,0.000515650373654114
"sure will",67,0.000515650373654114
"will look",67,0.000515650373654114
"day im",66,0.000507954099420471
"day just",66,0.000507954099420471
"farmers market",66,0.000507954099420471
"gov chris",66,0.000507954099420471
"im proud",66,0.000507954099420471
"just went",66,0.000507954099420471
"know think",66,0.000507954099420471
"next door",66,0.000507954099420471
"opening day",66,0.000507954099420471
"see soon",66,0.000507954099420471
"th birthday",66,0.000507954099420471
"two people",66,0.000507954099420471
"wait till",66,0.000507954099420471
"well done",66,0.000507954099420471
"will receive",66,0.000507954099420471
"young man",66,0.000507954099420471
"cant stop",65,0.000500257825186827
"excited see",65,0.000500257825186827
"get chance",65,0.000500257825186827
"get new",65,0.000500257825186827
"go follow",65,0.000500257825186827
"go school",65,0.000500257825186827
"ill try",65,0.000500257825186827
"im talking",65,0.000500257825186827
"just started",65,0.000500257825186827
"know right",65,0.000500257825186827
"live life",65,0.000500257825186827
"lol im",65,0.000500257825186827
"long term",65,0.000500257825186827
"make difference",65,0.000500257825186827
"next season",65,0.000500257825186827
"next weeks",65,0.000500257825186827
"one direction",65,0.000500257825186827
"play game",65,0.000500257825186827
"read book",65,0.000500257825186827
"really just",65,0.000500257825186827
"school districts",65,0.000500257825186827
"time im",65,0.000500257825186827
"time just",65,0.000500257825186827
"wait get",65,0.000500257825186827
"web site",65,0.000500257825186827
"will pay",65,0.000500257825186827
"will still",65,0.000500257825186827
"black white",64,0.000492561550953184
"bring back",64,0.000492561550953184
"credit card",64,0.000492561550953184
"get good",64,0.000492561550953184
"good way",64,0.000492561550953184
"great night",64,0.000492561550953184
"health insurance",64,0.000492561550953184
"human rights",64,0.000492561550953184
"im saying",64,0.000492561550953184
"im watching",64,0.000492561550953184
"like going",64,0.000492561550953184
"make great",64,0.000492561550953184
"many ways",64,0.000492561550953184
"minutes later",64,0.000492561550953184
"next years",64,0.000492561550953184
"pay attention",64,0.000492561550953184
"s s",64,0.000492561550953184
"said didnt",64,0.000492561550953184
"san jose",64,0.000492561550953184
"thanks mention",64,0.000492561550953184
"thats awesome",64,0.000492561550953184
"theres lot",64,0.000492561550953184
"things can",64,0.000492561550953184
"try make",64,0.000492561550953184
"u dont",64,0.000492561550953184
"will miss",64,0.000492561550953184
"came across",63,0.00048486527671954
"can put",63,0.00048486527671954
"cant say",63,0.00048486527671954
"declined comment",63,0.00048486527671954
"dont tell",63,0.00048486527671954
"go work",63,0.00048486527671954
"good see",63,0.00048486527671954
"im bored",63,0.00048486527671954
"keep going",63,0.00048486527671954
"keep mind",63,0.00048486527671954
"know much",63,0.00048486527671954
"know whats",63,0.00048486527671954
"like said",63,0.00048486527671954
"love new",63,0.00048486527671954
"now thats",63,0.00048486527671954
"one side",63,0.00048486527671954
"one week",63,0.00048486527671954
"orange county",63,0.00048486527671954
"oregon state",63,0.00048486527671954
"plain dealer",63,0.00048486527671954
"right thing",63,0.00048486527671954
"square feet",63,0.00048486527671954
"way can",63,0.00048486527671954
"well im",63,0.00048486527671954
"civil war",62,0.000477169002485897
"cleveland ohio",62,0.000477169002485897
"doesnt seem",62,0.000477169002485897
"dont take",62,0.000477169002485897
"going go",62,0.000477169002485897
"gonna get",62,0.000477169002485897
"good bad",62,0.000477169002485897
"good friend",62,0.000477169002485897
"help get",62,0.000477169002485897
"ive done",62,0.000477169002485897
"just make",62,0.000477169002485897
"know like",62,0.000477169002485897
"look good",62,0.000477169002485897
"oh yes",62,0.000477169002485897
"public health",62,0.000477169002485897
"public safety",62,0.000477169002485897
"spent time",62,0.000477169002485897
"superior court",62,0.000477169002485897
"theyre going",62,0.000477169002485897
"u want",62,0.000477169002485897
"will back",62,0.000477169002485897
"almost every",61,0.000469472728252253
"back school",61,0.000469472728252253
"can keep",61,0.000469472728252253
"can used",61,0.000469472728252253
"city hall",61,0.000469472728252253
